460, COMPSCI, 162, 1, W 12:30 PM - 1:45 PM, Jiehui Ma, MG0115
1213, MATH, 139, 6, TuTh 9:30 AM - 10:45 AM, To Be Arranged, HE0102
1214, MATH, 139, 7, TuTh 9:30 AM - 10:45 AM, John Reilly, HE0112
1215, MATH, 139, 8, MW 11:00 AM - 12:15 PM, To Be Arranged, HE0102
1216, MATH, 139, 9, MW 11:00 AM - 12:15 PM, Pawel Felcyn, HE0112
1217, MATH, 139, 10, MW 11:00 AM - 12:15 PM, Balamurugan Pandiyan, MG0117
1224, MATH, 139, 16, MW 12:30 PM - 1:45 PM, Morgan Gauvin, HE0102
1223, MATH, 139, 16, MW 12:30 PM - 1:45 PM, Morgan Gauvin, HE0102
1222, MATH, 139, 15, TuTh 11:00 AM - 12:15 PM, To Be Arranged, HE0113
1221, MATH, 139, 14, TuTh 11:00 AM - 12:15 PM, Balamurugan Pandiyan, MG0117
1220, MATH, 139, 13, TuTh 11:00 AM - 12:15 PM, Pawel Felcyn, HY0216
1219, MATH, 139, 12, TuTh 11:00 AM - 12:15 PM, To Be Arranged, HE0112
1218, MATH, 139, 11, TuTh 11:00 AM - 12:15 PM, Rachel Chaphalkar, HE0102
1250, MATH, 142, 6, MTuWTh 1:00 PM - 1:50 PM, To Be Arranged, HE0219
1249, MATH, 142, 5, MTuWTh 12:00 PM - 12:50 PM, To Be Arranged, HE0219
1248, MATH, 142, 4, MTuWTh 11:00 AM - 11:50 AM, Xueqing Chen, HE0219
1247, MATH, 142, 3, MTuWTh 10:00 AM - 10:50 AM, Geethamali Samaranayake, UH0144
1246, MATH, 142, 2, MTuWTh 9:00 AM - 9:50 AM, Pawel Felcyn, WH2013
1245, MATH, 142, 1, MTuWTh 9:00 AM - 9:50 AM, To Be Arranged, HE0219
1262, MATH, 143, 12, Web Based, To Be Arranged, ONLINE S
1261, MATH, 143, 11, Web Based, Huckleberry Rahr, ONLINE S
1260, MATH, 143, 10, Web Based, Huckleberry Rahr, ONLINE S
1259, MATH, 143, 9, MW 3:30 PM - 4:45 PM, Leon Arriola, HH1317
1258, MATH, 143, 8, MW 9:30 AM - 10:45 AM, Tina Cao, HH2306
1257, MATH, 143, 7, MW 2:00 PM - 3:15 PM, Ki-Bong Nam, UH0144
1256, MATH, 143, 6, TuTh 12:30 PM - 1:45 PM, Tamas Szabo, HH1317
1251, MATH, 143, 1, MW 9:30 AM - 10:45 AM, Ki-Bong Nam, HH1317
1252, MATH, 143, 2, TuTh 9:30 AM - 10:45 AM, Wesley Hough, HH1317
1253, MATH, 143, 3, MW 11:00 AM - 12:15 PM, Ki-Bong Nam, HH1317
1254, MATH, 143, 4, TuTh 11:00 AM - 12:15 PM, Leon Arriola, HH1317
1255, MATH, 143, 5, MW 12:30 PM - 1:45 PM, Leon Arriola, HH1317
1263, MATH, 147, 1, MTuWTh 2:00 PM - 2:50 PM, Teri Alder, HY0216
1264, MATH, 148, 1, TuTh 9:30 AM - 10:45 AM, Josh Ruk, HY0216
1265, MATH, 148, 2, MW 12:30 PM - 1:45 PM, Josh Ruk, HY0216
1267, MATH, 149, 2, TuTh 12:30 PM - 1:45 PM, To Be Arranged, HY0216
1266, MATH, 149, 1, MW 9:30 AM - 10:45 AM, To Be Arranged, HY0216
1268, MATH, 151, 1, TuTh 9:30 AM - 10:45 AM, Balamurugan Pandiyan, MG0117
1269, MATH, 151, 2, MW 11:00 AM - 12:15 PM, Corey Bruns, HH1310
1270, MATH, 151, 3, TuTh 3:30 PM - 4:45 PM, Pawel Felcyn, UH0144
1271, MATH, 152, 1, MTuWThF 9:00 AM - 9:50 AM, Peter Lampe, HH1310
1272, MATH, 152, 2, MW 2:00 PM - 2:50 PM, Balamurugan Pandiyan, HE0219
1273, MATH, 250, 1, MW 2:00 PM - 2:50 PM, Corey Bruns, HE0117
1276, MATH, 253, 3, MW 2:00 PM - 2:50 PM, Xueqing Chen, HH1310
1275, MATH, 253, 2, MTuWThF 1:00 PM - 1:50 PM, Geethamali Samaranayake, HH1310
1274, MATH, 253, 1, MTuWThF 10:00 AM - 10:50 AM, Peter Lampe, HH1310
1277, MATH, 254, 1, MTuWTh 10:00 AM - 10:50 AM, To Be Arranged, HE0219
1278, MATH, 255, 1, MW 11:00 AM - 12:15 PM, Sobitha Samaranayake, HY0216
1279, MATH, 280, 1, MW 2:00 PM - 3:15 PM, Geethamali Samaranayake, HH1317
1280, MATH, 281, 1, M 5:00 PM - 5:50 PM, Tamas Szabo, HY0216
1281, MATH, 301, 1, MW 2:00 PM - 3:15 PM, Wesley Hough, MG0117
1282, MATH, 343, 1, TuTh 11:00 AM - 12:15 PM, Wesley Hough, HH1310
1283, MATH, 355, 1, MW 3:30 PM - 4:45 PM, Ki-Bong Nam, UH0144
1284, MATH, 361, 1, TuTh 9:30 AM - 10:45 AM, Sobitha Samaranayake, HE0117
1285, MATH, 370, 1, MW 12:30 PM - 1:45 PM, Tamas Szabo, MG0117
1286, MATH, 416, 1, MW 3:30 PM - 4:45 PM, Tamas Szabo, HY0216
1287, MATH, 422, 1, TuTh 2:00 PM - 3:15 PM, Tamas Szabo, HH1317
1288, MATH, 450, 1, MW 12:30 PM - 1:45 PM, Wesley Hough, HE0117
1289, MATH, 452, 1, MW 9:30 AM - 10:45 AM, Xueqing Chen, HE0117
1290, MATH, 471, 1, TuTh 2:00 PM - 3:15 PM, Leon Arriola, MG0125
